651.743,212.337,-26.775,1000000,1000000,1000000,1000000,1000000,1000000,
558.429,160.386,-26.779,1000000,1000000,1000000,1000000,1000000,1000000,
471.744,192.337,-26.77,1000000,1000000,1000000,1000000,1000000,1000000,
689.543,292.337,-26.776,1000000,1000000,1000000,1000000,1000000,1000000,
558.429,285.386,-26.779,1000000,1000000,1000000,1000000,1000000,1000000,
427.622,292.337,-26.78,1000000,1000000,1000000,1000000,1000000,1000000,
656.744,370.497,-26.778,1000000,1000000,1000000,1000000,1000000,1000000,
558.429,420.386,-26.779,1000000,1000000,1000000,1000000,1000000,1000000,
481.744,389.537,-26.783,1000000,1000000,1000000,1000000,1000000,1000000,
557.703,225.497,-26.78,1000000,1000000,1000000,1000000,1000000,1000000,
607.704,335.497,-26.78,1000000,1000000,1000000,1000000,1000000,1000000,
507.704,335.497,-26.78,1000000,1000000,1000000,1000000,1000000,1000000,
