660.481,204.098,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
558.429,156.438,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
467.5,188.269,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
705.935,292.337,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
416.154,292.337,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
672.047,385.686,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
558.429,440.898,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
466.123,404.919,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
1000000,1000000,1000000,1000000,1000000,-36.854,1000000,1000000,1000000,
1000000,1000000,-25.9,1000000,1000000,1000000,1000000,1000000,1000000,
1000000,1000000,1000000,0.773,3.14,1000000,1000000,1000000,1000000,
