651.743,212.337,-26.798,1000000,1000000,1000000,1000000,1000000,1000000,
558.429,160.386,-26.8,1000000,1000000,1000000,1000000,1000000,1000000,
471.744,192.337,-26.792,1000000,1000000,1000000,1000000,1000000,1000000,
689.543,292.337,-26.797,1000000,1000000,1000000,1000000,1000000,1000000,
558.429,285.386,-26.798,1000000,1000000,1000000,1000000,1000000,1000000,
427.704,292.337,-26.797,1000000,1000000,1000000,1000000,1000000,1000000,
656.744,370.497,-26.795,1000000,1000000,1000000,1000000,1000000,1000000,
558.429,420.386,-26.797,1000000,1000000,1000000,1000000,1000000,1000000,
481.744,389.537,-26.799,1000000,1000000,1000000,1000000,1000000,1000000,
557.703,225.497,-26.797,1000000,1000000,1000000,1000000,1000000,1000000,
607.704,335.497,-26.796,1000000,1000000,1000000,1000000,1000000,1000000,
507.704,335.497,-26.797,1000000,1000000,1000000,1000000,1000000,1000000,
